Source(Lat),source(Long),Destination(Lat),Destination(Long),Speed(km),Distance(km),Altimetry1,Altimetry2,Altimetry3,Altimetry4,Altimetry5,Altimetry6,Altimetry7,Altimetry8,Altimetry9,Altimetry10,Time(minnutes),Soc
11.4916,76.7337,10.0079,77.4735,68,315,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,412,70.8
12.8185,79.6947,13.0827,80.2707,42,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,130,24.5
11.9416,79.8083,10.6819,79.8437,43,162,6.9951,-0.7922,-15.184,-19.9299,0,3.193,2.7937,2.9116,5.9734,4.2958,239,58
13.0827,80.2707,10.3624,77.9695,70,415,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,434,80.4
13.0827,80.2707,10.8505,76.2711,65,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,663,84
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,53
13.0827,80.2707,15.9129,79.74,55,365,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,420,73
13.0827,80.2707,15.3173,75.7139,68,766,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,799,91
13.0827,80.2707,8.0883,87.5385,40,756,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,675,85
11.9401,79.4861,12.9165,79.1325,65,98,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,120,43.5
10.7905,78.7047,9.9252,78.1198,55,132,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,45
10.7672,79.8449,11.0168,66.9558,72,255,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,450,70
11.4916,76.7337,10.0079,77.4735,58,250,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,350,71.4
12.8185,79.6947,13.0827,81.2707,38,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,135,23.9
11.9416,79.8083,10.6819,79.8437,42,162,6.9951,-0.7922,-15.184,-19.9299,15,3.193,2.7937,2.9116,5.9734,4.2958,249,56
13.0827,80.2707,10.3624,98.9695,76,130,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,320,50
13.0827,80.2707,10.8505,76.2711,64,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,660,81
12.983,80.2594,147.5358,220.8122,57,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,49
13.0827,80.2707,147.4587,212.6467,45,381,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,433,79
13.0827,80.2707,147.4587,214.6467,71,650,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,820,81
13.0827,80.2707,147.4587,230.6467,68,600,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,683,78
12.983,80.2594,147.5358,214.8122,70,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,52
13.0827,80.2707,147.4587,214.6467,68,381,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,433,68
13.0827,80.2707,147.4587,214.6467,75,766,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,799,90.8
13.0827,80.2707,147.4587,214.6467,60,706,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,683,85
11.9401,79.4861,12.9165,79.1325,58,128,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,165,43
10.7905,78.7047,9.9252,78.1198,57,138,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,23
10.7672,79.8449,11.0168,76.9558,75,355,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,457,63.6
11.4916,76.7337,10.0079,77.4735,68,300,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,412,59
12.8185,79.6947,13.0827,80.2707,40,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,130,25
11.9416,79.8083,10.6819,79.8437,43,162,6.9951,-0.7922,-15.184,-19.9299,21,3.193,2.7937,2.9116,5.9734,4.2958,239,63
13.0827,80.2707,10.3624,77.9695,70,424,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,434,75
13.0827,80.2707,10.8505,76.2711,70,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,663,80
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,155,56
13.0827,80.2707,15.9129,79.74,68,350,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,420,61
13.0827,80.2707,15.3173,75.7139,65,750,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,780,90
13.0827,80.2707,8.0883,77.5385,30,760,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,670,84
11.9401,79.4861,12.9165,79.1325,58,98,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,120,27
10.7905,78.7047,9.9252,78.1198,57,138,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,34.7
10.7672,79.8449,11.0168,76.9558,65,255,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,457,69
11.4916,76.7337,10.0079,77.4735,58,250,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,350,67
12.8185,79.6947,13.0827,80.2707,41,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,130,25
11.9416,79.8083,10.6819,79.8437,48,145,6.9951,-0.7922,-15.184,-19.9299,0,3.193,2.7937,2.9116,5.9734,4.2958,239,56
13.0827,80.2707,10.3624,77.9695,65,130,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,320,52.4
13.0827,80.2707,10.8505,76.2711,64,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,663,75
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,39
13.0827,80.2707,15.9129,79.74,70,381,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,433,69
13.0827,80.2707,15.3173,75.7139,65,750,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,799,90
13.0827,80.2707,8.0883,77.5385,46,606,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,683,80.8
11.9401,79.4861,12.9165,79.1325,58,128,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,165,29
10.7905,78.7047,9.9252,78.1198,57,138,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,139,27
10.7672,79.8449,11.0168,76.9558,65,355,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,457,68
11.4916,76.7337,10.0079,77.4735,68,315,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,412,20
12.8185,79.6947,13.0827,80.2707,40,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,130,23
11.9416,79.8083,10.6819,79.8437,43,162,6.9951,-0.7922,-15.184,-19.9299,20,3.193,2.7937,2.9116,5.9734,4.2958,239,63.8
13.0827,80.2707,10.3624,77.9695,73,415,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,434,77
13.0827,80.2707,10.8505,76.2711,71,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,663,84
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,71
13.0827,80.2707,15.9129,79.74,69,365,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,420,91
13.0827,80.2707,15.3173,75.7139,65,766,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,799,87
13.0827,80.2707,8.0883,77.5385,49,756,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,683,38.5
11.9401,79.4861,12.9165,79.1325,58,98,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,120,35
10.7905,78.7047,9.9252,78.1198,55,132,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,44
10.7672,79.8449,11.0168,76.9558,63,255,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,450,71
11.4916,76.7337,10.0079,77.4735,58,250,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,350,68
12.8185,79.6947,13.0827,80.2707,41,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,139,24
11.9416,79.8083,10.6819,79.8437,53,162,6.9951,-0.7922,-15.184,-19.9299,14,3.193,2.7937,2.9116,5.9734,4.2958,239,59.5
13.0827,80.2707,10.3624,77.9695,67,135,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,320,51
13.0827,80.2707,10.8505,76.2711,65,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,666,79
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,54
13.0827,80.2707,15.9129,79.74,70,381,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,433,72
13.0827,80.2707,15.3173,75.7139,74,550,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,879,74
13.0827,80.2707,8.0883,77.5385,46,716,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,683,89
11.9401,79.4861,12.9165,79.1325,58,128,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,165,47
10.7905,78.7047,9.9252,78.1198,55,138,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,55.5
10.7672,79.8449,11.0168,76.9558,67,355,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,457,76
11.4916,76.7337,10.0079,77.4735,68,300,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,412,67
12.8185,79.6947,13.0827,80.2707,40,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,130,27
11.9416,79.8083,10.6819,79.8437,49,162,6.9951,-0.7922,-15.184,-19.9299,0,3.193,2.7937,2.9116,5.9734,4.2958,239,58
13.0827,80.2707,10.3624,77.9695,55,424,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,434,76
13.0827,80.2707,10.8505,76.2711,65,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,663,82
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,57
13.0827,80.2707,15.9129,79.74,70,350,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,420,76
13.0827,80.2707,15.3173,75.7139,65,766,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,770,93
13.0827,80.2707,8.0883,77.5385,36,760,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,660,85
11.9401,79.4861,12.9165,79.1325,59,98,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,120,35
10.7905,78.7047,9.9252,78.1198,57,138,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,45
10.7672,79.8449,11.0168,76.9558,65,265,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,457,74
11.4916,76.7337,10.0079,77.4735,58,250,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,350,76
12.8185,79.6947,13.0827,80.2707,40,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,130,24
11.9416,79.8083,10.6819,79.8437,43,145,6.9951,-0.7922,-15.184,-19.9299,6,3.193,2.7937,2.9116,5.9734,4.2958,239,51
13.0827,80.2707,10.3624,77.9695,62,130,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,320,56
13.0827,80.2707,10.8505,76.2711,73,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,663,83
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,45
13.0827,80.2707,15.9129,79.74,70,381,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,437,73
13.0827,80.2707,15.3173,75.7139,65,750,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,799,92
13.0827,80.2707,8.0883,77.5385,46,706,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,683,86
11.9401,79.4861,12.9165,79.1325,58,128,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,165,45.5
10.7905,78.7047,9.9252,78.1198,47,138,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,48
10.7672,79.8449,11.0168,76.9558,65,355,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,476,79
11.4916,76.7337,10.0079,77.4735,68,315,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,412,70.8
12.8185,79.6947,13.0827,80.2707,42,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,130,24.5
11.9416,79.8083,10.6819,79.8437,43,162,6.9951,-0.7922,-15.184,-19.9299,0,3.193,2.7937,2.9116,5.9734,4.2958,239,58
13.0827,80.2707,10.3624,77.9695,70,415,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,434,80.4
13.0827,80.2707,10.8505,76.2711,65,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,663,84
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,53
13.0827,80.2707,15.9129,79.74,55,365,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,420,73
13.0827,80.2707,15.3173,75.7139,68,766,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,799,91
13.0827,80.2707,8.0883,87.5385,40,756,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,675,85
11.9401,79.4861,12.9165,79.1325,65,98,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,120,43.5
10.7905,78.7047,9.9252,78.1198,55,132,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,45
10.7672,79.8449,11.0168,66.9558,72,255,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,450,70
11.4916,76.7337,10.0079,77.4735,58,250,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,350,71.4
12.8185,79.6947,13.0827,81.2707,38,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,135,23.9
11.9416,79.8083,10.6819,79.8437,42,162,6.9951,-0.7922,-15.184,-19.9299,15,3.193,2.7937,2.9116,5.9734,4.2958,249,56
13.0827,80.2707,10.3624,98.9695,76,130,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,320,50
13.0827,80.2707,10.8505,76.2711,64,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,660,81
12.983,80.2594,147.5358,220.8122,57,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,49
13.0827,80.2707,147.4587,212.6467,45,381,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,433,79
13.0827,80.2707,147.4587,214.6467,71,650,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,820,81
13.0827,80.2707,147.4587,230.6467,68,600,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,683,78
12.983,80.2594,147.5358,214.8122,70,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,52
13.0827,80.2707,147.4587,214.6467,68,381,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,433,68
13.0827,80.2707,147.4587,214.6467,75,766,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,799,90.8
13.0827,80.2707,147.4587,214.6467,60,706,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,683,85
11.9401,79.4861,12.9165,79.1325,58,128,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,165,43
10.7905,78.7047,9.9252,78.1198,57,138,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,23
10.7672,79.8449,11.0168,76.9558,75,355,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,457,63.6
11.4916,76.7337,10.0079,77.4735,68,300,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,412,59
12.8185,79.6947,13.0827,80.2707,40,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,130,25
11.9416,79.8083,10.6819,79.8437,43,162,6.9951,-0.7922,-15.184,-19.9299,21,3.193,2.7937,2.9116,5.9734,4.2958,239,63
13.0827,80.2707,10.3624,77.9695,70,424,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,434,75
13.0827,80.2707,10.8505,76.2711,70,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,663,80
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,155,56
13.0827,80.2707,15.9129,79.74,68,350,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,420,61
13.0827,80.2707,15.3173,75.7139,65,750,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,780,90
13.0827,80.2707,8.0883,77.5385,30,760,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,670,84
11.9401,79.4861,12.9165,79.1325,58,98,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,120,27
10.7905,78.7047,9.9252,78.1198,57,138,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,34.7
10.7672,79.8449,11.0168,76.9558,65,255,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,457,69
11.4916,76.7337,10.0079,77.4735,58,250,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,350,67
12.8185,79.6947,13.0827,80.2707,41,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,130,25
11.9416,79.8083,10.6819,79.8437,48,145,6.9951,-0.7922,-15.184,-19.9299,0,3.193,2.7937,2.9116,5.9734,4.2958,239,56
13.0827,80.2707,10.3624,77.9695,65,130,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,320,52.4
13.0827,80.2707,10.8505,76.2711,64,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,663,75
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,39
13.0827,80.2707,15.9129,79.74,70,381,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,433,69
13.0827,80.2707,15.3173,75.7139,65,750,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,799,90
13.0827,80.2707,8.0883,77.5385,46,606,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,683,80.8
11.9401,79.4861,12.9165,79.1325,58,128,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,165,29
10.7905,78.7047,9.9252,78.1198,57,138,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,139,27
10.7672,79.8449,11.0168,76.9558,65,355,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,457,68
11.4916,76.7337,10.0079,77.4735,68,315,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,412,20
12.8185,79.6947,13.0827,80.2707,40,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,130,23
11.9416,79.8083,10.6819,79.8437,43,162,6.9951,-0.7922,-15.184,-19.9299,20,3.193,2.7937,2.9116,5.9734,4.2958,239,63.8
13.0827,80.2707,10.3624,77.9695,73,415,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,434,77
13.0827,80.2707,10.8505,76.2711,71,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,663,84
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,71
13.0827,80.2707,15.9129,79.74,69,365,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,420,91
13.0827,80.2707,15.3173,75.7139,65,766,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,799,87
13.0827,80.2707,8.0883,77.5385,49,756,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,683,38.5
11.9401,79.4861,12.9165,79.1325,58,98,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,120,35
10.7905,78.7047,9.9252,78.1198,55,132,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,44
10.7672,79.8449,11.0168,76.9558,63,255,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,450,71
11.4916,76.7337,10.0079,77.4735,58,250,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,350,68
12.8185,79.6947,13.0827,80.2707,41,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,139,24
11.9416,79.8083,10.6819,79.8437,53,162,6.9951,-0.7922,-15.184,-19.9299,14,3.193,2.7937,2.9116,5.9734,4.2958,239,59.5
13.0827,80.2707,10.3624,77.9695,67,135,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,320,51
13.0827,80.2707,10.8505,76.2711,65,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,666,79
12.983,80.2594,11.9416,79.8083,67,137,5.9826,4.0188,8.9659,3.4065,14.2598,11.6881,22.7474,19.4653,7.0822,11.0158,159,54
13.0827,80.2707,15.9129,79.74,70,381,4.3615,6.9664,5.5317,3.6215,5.87051,4.6833,4.9347,4.86152,3.2392,5.5611,433,72
13.0827,80.2707,15.3173,75.7139,74,550,4.3615,11.2439,27.4969,22.0944,63.815,78.3624,161.9935,587.222,559.4389,534.5034,879,74
13.0827,80.2707,8.0883,77.5385,46,716,4.3615,11.2594,39.0068,56.5993,20.4265,41.4902,24.3435,23.14474,94.9946,53.38328,683,89
11.9401,79.4861,12.9165,79.1325,58,128,46.1555,69.8356,86.71276,222.6724,134.8666,153.0756,151.7442,166.8969,488.1175,213.9276,165,47
10.7905,78.7047,9.9252,78.1198,55,138,81.3591,95.4888,123.2546,168.0818,202.728271,243.3201,197.0212,625.2929,157.06,133.5144,137,55.5
10.7672,79.8449,11.0168,76.9558,67,355,3.338,14.7408,35.436,52.75,75.865,122.9365,185.3348,264.078,366.7644,427.05978,457,76
11.4916,76.7337,10.0079,77.4735,68,300,1812,1419.1173,483.224,411.4766,342.6733,390.8032,381.65994,907.66296,2273.4982,291.40063,412,67
12.8185,79.6947,13.0827,80.2707,40,76.7,79.8364,70.58029,59.25,72.8421,39.1473,28.3844,21.86097,13.87261,10.92242,3.91345,130,27
11.9416,79.8083,10.6819,79.8437,49,162,6.9951,-0.7922,-15.184,-19.9299,0,3.193,2.7937,2.9116,5.9734,4.2958,239,58
13.0827,80.2707,10.3624,77.9695,55,424,3.91,50.129,50.897,60.755,70.8,98.25,477.447,95.95,217.103,273.97,434,76
13.0827,80.2707,10.8505,76.2711,65,605,3.91345,60.7511,117.7602,222.2438,343.6771,357.3519,229.9425,308.1969,846.3605,46.7788,663,82
